"a","b","sig0","l2"
0.012436335587191,1e-04,1e-04,0.379760502307606
0.0209104563288211,1e-04,0.0147235100478686,0.362203199494838
0.0253760414997268,1e-04,1e-04,0.379473400992212
1e-04,1e-04,0.0707552434924082,0.30056603229078
0.00356011321411071,1e-04,0.057857211370046,0.314189880876714
0.0778875783504313,1e-04,0.0129189315771321,0.366529411060805
0.064600386324077,1e-04,0.00577937338835639,0.37386734982451
0.0185205608118372,0.000644722301353769,0.000491400897550634,0.378962231344323
0.0199912841808132,1e-04,0.0294626398743716,0.34518506369147
1e-04,1e-04,1e-04,0.38034603
1e-04,0.000106659369818061,0.027592409014198,0.348114606970841
0.142474953869507,1e-04,1e-04,0.392102635247948
0.0722628167168917,1e-04,0.000910154174097262,0.380266799048549
0.04729257693585,1e-04,1e-04,0.379751053217082
0.00506891677110696,0.000694949570942864,0.0311068156092859,0.343666911232215
0.03980691050701,1e-04,0.0200833589651931,0.355971496042786
1e-04,1e-04,0.0632981883736836,0.30851485460297
0.0557106172833022,1e-04,0.00530472655310091,0.373895514101171
0.0256453464226367,0.00234447453524741,1e-04,0.378848016698756
0.0888713044535069,1e-04,0.00301771311791919,0.379425691339016
0.0235315224906787,1e-04,1e-04,0.379493861201289
0.000124176168747164,1e-04,1e-04,0.380344584849596
0.0177724857824485,1e-04,0.00140832900792607,0.378033510685024
0.0218532603110751,1e-04,0.0144862841681375,0.362464690794794
1e-04,1e-04,0.0725768750434569,0.298641172738925
0.0293985832162217,1e-04,0.0155425007115002,0.361162940176715
0.000621955765457633,1e-04,0.0211946458578937,0.355450717466616
0.0331850529025338,1e-04,0.000553010870513241,0.378918847338399
0.0309376910295401,1e-04,1e-04,0.379452899264467
1e-04,1e-04,0.0279626295108966,0.347692773236088
0.0610350380939731,1e-04,0.00608167347710861,0.373274162169246
0.0841908489921597,1e-04,1e-04,0.382388668114491
1e-04,1e-04,0.000153925315834358,0.380281333314002
1e-04,1e-04,1e-04,0.38034603
0.0771660679701348,1e-04,1e-04,0.381676657967763
0.0218851641633327,0.000158522848583873,0.020638163343984,0.355281627065978
0.0449797070835294,1e-04,0.0134524350190871,0.363834447609347
0.026482178942018,1e-04,0.0175061233759501,0.35888350136951
1e-04,1e-04,1e-04,0.38034603
0.0434915136574897,1e-04,0.000396023240400873,0.379278959886696
0.0611937690471892,1e-04,0.00465224350127365,0.374984012395436
1e-04,1e-04,0.0393100783562538,0.33483920823287
1e-04,1e-04,1e-04,0.38034603
1e-04,1e-04,1e-04,0.38034603
0.0331483878956629,1e-04,0.00744156555032279,0.370707420583794
1e-04,0.000377411849559651,0.0153929108914856,0.362153925757758
1e-04,1e-04,0.000187540116377126,0.380241007031643
0.0442166261277817,1e-04,0.00187703942981043,0.377525198419706
0.035747844043565,1e-04,0.0315741698679837,0.342712972072421
0.0641648671866882,1e-04,1e-04,0.380619258149884
0.0128614417101081,1e-04,0.0240826247865929,0.351546563252956
0.034852360704994,1e-04,0.000885617900299692,0.378533598243117
0.0749178132132043,1e-04,1e-04,0.381469629943856
0.000174169154822265,1e-04,0.000806994790382111,0.379493847677738
1e-04,1e-04,1e-04,0.38034603
0.0303536378571341,1e-04,0.0070297909196055,0.371185803916581
0.123485200798024,1e-04,0.0226129811078543,0.361687262353406
1e-04,1e-04,0.0493553158048167,0.323675588232413
0.028612599275585,1e-04,0.000107124544616703,0.379445396902898
1e-04,1e-04,0.0197592478457504,0.357145350460529
1e-04,0.00028278798224039,1e-04,0.380294919334016
