"a","b","sig0","l2"
0.241568447932236,0.187194797967936,0.333266706531445,0.106173003968126
0.784099638477431,0.172541434161806,0.336043624211531,0.504855373059046
0.427999043195522,0.0711390113742864,0.546591937974774,0.0874882882276801
0.990258177471002,0.0454922522749819,0.581947609420086,0.723504867042512
0.497625925957527,0.0427420376837744,0.594130090419013,0.128093118279802
0.684982309413005,0.152774482581091,0.354748907592586,0.372227389473217
0.785259390394707,0.14142151828321,0.368195406710909,0.482507805099006
0.427582770241638,0.0513802306958442,0.560811063272472,0.0846967367662965
0.78568536383582,0.130287082917734,0.415492073797105,0.461010262903637
0.637212636221448,0.232777967863854,0.257624860028474,0.405560046339797
0.246517800196173,0.0953633611549164,0.538252999113139,0.0194311028586218
0.255390936881646,0.0994383704030299,0.495342277683184,0.0290899944391962
0.830067309265937,1e-04,0.642606009478553,0.478902173361216
0.389764174890021,0.146766993161662,0.505515175377395,0.084944055834473
0.771942631727832,0.00785156956883691,0.633106460613073,0.400938080499987
0.719615435146957,0.138135456120908,0.397210495929742,0.388770912492134
0.836334384490064,0.192817915709413,0.257558239122292,0.628657608292139
0.984897102725097,0.209304129176073,0.088255637878347,1.00788337709615
0.722175977847976,0.192636942031836,0.354782370228854,0.425511330047293
0.747189687886841,0.119508762590806,0.465644855712094,0.39474244045328
0.958700556351536,0.225450088802127,0.195515324103477,0.872079191218188
0.610150957232192,0.0915609748871413,0.515989471221797,0.231889445160995
0.650133352712127,0.236860012971707,0.0822217478207415,0.571121420945778
0.819721764600615,0.0356113258641373,0.549280852757421,0.464625596146741
0.64009178696583,0.157461217315706,0.331705980538049,0.338319838189328
0.505772934047291,0.0597578377377322,0.549545897678712,0.137220984629436
0.754772165468178,0.22678803358007,0.0538782462598577,0.714919315502952
0.981067668159101,0.165640445354875,0.35883407852727,0.783954154518448
0.906709740035688,0.0444517807691105,0.568491677057542,0.589045453847637
0.529399035310791,0.143204631112536,0.420972074247043,0.196497895405706
0.988184834174725,1e-04,0.597944306632584,0.720315748799227
0.513010771616806,0.116782954566379,0.423185825381793,0.177931569291353
0.886972565028171,0.196341152592979,0.115820142286809,0.820067526565891
0.480966256461925,1e-04,0.613849693566056,0.117343812057533
0.684244821391572,0.00430954580435274,0.607857662782434,0.296924167912725
0.734840855961655,0.156623068961964,0.322459421886396,0.446897818014174
0.335649850550028,0.00944312459470015,0.592579691862504,0.0387565101195328
0.389897563058434,0.131070667881843,0.356638601203699,0.131888842352718
0.572758576528493,0.129711473830648,0.407486949874635,0.234283638041019
0.48441491822032,0.0822988695001519,0.483640597022183,0.134896318305058
0.383933674885781,0.00968426231215418,0.572536775124842,0.0606705956616268
0.021271352353771,0.0317687572186937,0.588972491729132,0.0142212262126651
0.828265474495107,0.101383302619923,0.402755613231479,0.517710287386591
0.64639032621113,0.00682715202069842,0.598942166980996,0.256969262374382
0.407445881126265,0.0623731377033685,0.506788633935749,0.0812636781397295
0.991166702062403,0.163149356576611,0.248614260153373,0.865685444024114
0.475989678880353,0.107494700415911,0.412197410332675,0.154164305592428
0.78026305977857,0.194969387263697,0.0961436555882957,0.691022900255102
0.144492992138176,0.0408953663052155,0.570584656416854,0.00100415842339306
0.342675954254904,0.135067117521025,0.382368571394436,0.0994800803342115
0.814337459565639,0.177056050340948,0.213512784087192,0.625728859379353
0.52162147372008,0.0796596998248922,0.475302842556298,0.163650416065524
0.523542788452109,0.08377257917579,0.489985778694357,0.162099689734323
0.977235714711772,0.0524485468053958,0.540194749766341,0.705044247198116
0.761008304624535,0.200625481649916,0.216594906562142,0.561763835074997
0.183287665221885,0.0809210007121912,0.497162989773934,0.0150422209461288
0.698387139254828,0.219216302543769,0.0258399082002363,0.677258817449039
0.538534618402196,0.0405710729125732,0.544263481913082,0.162048149095961
0.254311909804922,0.0411361133131389,0.541187945447565,0.0166500835036503
0.621307208863253,0.0749195134174623,0.474596291685496,0.249400482048426
1,0.207632040580666,0.223040206796343,0.913251827532995
0.47586056626999,0.160794371367879,0.339785945722777,0.197620841600107
0.191482211676501,0.0340693178821273,0.610893818535589,0.0027856527494162
0.891213574669128,0.234255915601193,0.00485973255936163,0.960234251754565
0.00115626957476257,1e-04,0.65780930869231,0.0235135076498788
0.301988120722654,0.110738376583797,0.469145474635693,0.049881743516962
0.45662059581274,0.0451264887556227,0.557595959271289,0.102275515025011
0.151888621796985,0.0771194322927368,0.505045664740612,0.0113779060123737
0.338021935374669,0.076401000269935,0.563796369641014,0.0426764425667501
0.608765420618016,0.172425693302111,0.345766256051742,0.304660894241721
0.751652208948445,0.223943617449285,1e-04,0.771612561460827
1e-04,0.0926155120972896,0.545772505065129,0.0264333335621173
0.811798978962637,0.191667027755449,0.239694088646929,0.60727044575449
0.470556382833038,0.132313861586474,0.419016607883709,0.152490636726317
0.831434089342621,0.222671260190022,0.107648574210123,0.757613240885595
0.715883765977021,0.1442060836638,0.377239335815846,0.394307454969465
0.846352378216024,0.217335303755766,0.103215795600473,0.780822743985569
0.0626143363940481,0.111606704012128,0.50541054945157,0.0215953592265105
0.607935374110497,0.234640982314317,0.18934638764068,0.429477835330258
0.998240719532997,0.213379251246174,0.00746478391037209,1.12130306475851
0.714038409348909,0.0750231463358855,0.502750232722301,0.341004696349375
0.626206649572317,0.215959605809971,0.179888040894773,0.44747193926457
0.120114603992356,0.0452874050159355,0.599397204939361,0.000629497088387222
0.628233518053527,0.0815681432174278,0.502274002397985,0.250581612153126
0.992325610727834,0.205149725383152,0.0738041415246432,1.03401845448099
0.354916549581892,1e-04,0.617796119763876,0.0473998351628361
0.523099886044339,0.211724155738636,0.118898358900353,0.411247980534879
0.87413612242675,0.176813561008411,0.264300703381028,0.673204085698227
0.422672650833952,0.109070516805861,0.488789229705134,0.0985238095870168
0.148514817702365,0.191130761146609,0.388356308692776,0.0708286763783374
0.813861387335203,0.088348166369759,0.424473121287746,0.488303363010504
0.76297620216198,0.165474293507807,0.285854589387523,0.505139971670486
0.448076137045522,0.111225570755065,0.429429094065193,0.130602933512798
0.532664718396937,0.0606764812058758,0.519854177375066,0.161549980457147
1,0.204905869466197,0.0385702486558918,1.08539542886803
0.652026546498654,0.204119768017585,0.0718726245211742,0.571407402663988
0.731812340397917,0.150192828940933,0.2730788382943,0.471565608347089
0.235658449832286,0.00902799342221346,0.610346433961158,0.00969741277992722
0.0111829251802476,0.00510673359780376,0.635548536170393,0.0184772119011461
0.877363558537099,0.120813208008764,0.384628634022875,0.598336881490189
