"a","b","sig0","l2"
0.00564808237449696,1e-04,0.0138876134157022,0.100804745526613
1e-04,1e-04,0.0107363430041461,0.104139483258615
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.000922031437077347,0.109913651279725
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.0347563611867003,0.0908202079309202
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.0160322580643719,0.10110369846002
1e-04,1e-04,0.0361955317347676,0.090058817476702
1e-04,1e-04,0.0402847025236163,0.0879180557432465
1e-04,1e-04,1e-04,0.11040603
0.0142884829320124,1e-04,0.00120545901497348,0.105975573245988
1e-04,1e-04,0.00452727264004985,0.107770152613527
0.000935653907834757,1e-04,1e-04,0.110172912354042
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.000108711007886682,0.110400805213351
1e-04,1e-04,0.0154384882226238,0.101441273985026
0.000978900152515393,1e-04,0.0441356935672709,0.0856874195091058
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.000225366221113427,0.110330851057266
0.000118130281934595,1e-04,1e-04,0.110400957475822
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.0263790824804639,0.0953344265042328
0.0160718794534416,1e-04,1e-04,0.106192199062202
1e-04,1e-04,1e-04,0.11040603
0.00403366408377658,1e-04,0.0136322626013706,0.101387335525294
0.00624431455870173,1e-04,0.000309738599156363,0.108598846166378
1e-04,1e-04,0.000115062304578978,0.110396995856587
1e-04,1e-04,0.00038062290276469,0.110237791132135
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
0.000492845043318965,1e-04,0.0162614440801407,0.100863824399595
0.00444966448083479,1e-04,1e-04,0.109207913459358
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,1e-04,0.11040603
0.00534944426407796,0.804411401510314,0.000148160208412536,0.707754916775561
0.00174520043894572,1e-04,0.032865899060114,0.0913690274866285
1e-04,1e-04,0.00104586916797794,0.10983959234153
1e-04,1e-04,0.000110428443988344,0.110399775128048
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.0227944884339648,0.0973089156425873
0.00444013159834928,1e-04,1e-04,0.109210497921073
0.00014229921717327,1e-04,0.00118373825901218,0.109745344749117
0.000166117612432955,1e-04,0.0190678383589096,0.0993704041079157
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.026162375363711,0.0954530646664451
1e-04,1e-04,1e-04,0.11040603
0.000905701933281084,1e-04,1e-04,0.110181243754673
1e-04,1e-04,0.0116791140884986,0.103594953252793
1e-04,1e-04,0.00180676921696679,0.109385222884823
0.0013392882903794,1e-04,0.00525061447725402,0.106998003237855
0.00129418827614068,1e-04,1e-04,0.110073322205975
1e-04,0.000134364147166966,0.0206581164559535,0.0984958541068297
1e-04,0.000111090809380892,1e-04,0.110405366892605
0.000100910823049797,1e-04,0.00807934769742129,0.105683432393303
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.000191781149057191,0.110350988090575
1e-04,1e-04,0.000126871559507404,0.110389913160688
0.000336917720913071,1e-04,0.00261091689281721,0.108840053303026
1e-04,1e-04,0.016395698791159,0.100897419664155
1e-04,0.000204504256424425,0.0201919065855314,0.0987523507068454
0.0156017362087326,1e-04,0.00044418276250914,0.106102625675103
1e-04,1e-04,0.0278827296571061,0.0945138288188676
1e-04,1e-04,0.000148154084895454,0.110377149498696
1e-04,1e-04,0.0163737331935883,0.100909879222542
0.00987186500191911,1e-04,0.000137916483816282,0.107744610648745
1e-04,1e-04,1e-04,0.11040603
1e-04,1e-04,0.00026095424317363,0.110309515551213
1e-04,1e-04,0.00412573478271747,0.108007600817867
1e-04,1e-04,1e-04,0.11040603
0.00683687657457752,1e-04,0.00136396030385321,0.107809911645813
