"V1","V2","V3","V4"
0.374825355879798,0.114831079266626,0.148696694050198,0.142430691019852
0.358156737189553,0.057871207571682,0.351906300556194,0.117126246746057
0.313568485569092,0.0753968005920062,0.303724451451283,0.0845985309203106
0.281930967928006,0.131841145317336,0.104093797756483,0.101915019588353
0.907787448293091,0.111916295568011,0.0317717111974839,0.843245913749446
0.333512206889103,0.0681973254694948,0.337209897092589,0.0986598602420682
0.445638862058623,0.0463826578853871,0.363762083215027,0.185585473653912
0.533699376653461,0.0869191443691496,0.177278105798666,0.271591302591951
0.256706141431059,0.120739809708544,0.198883716084066,0.0619911323655902
0.603815686470478,0.0646570489428064,0.280734326943632,0.335312168471908
0.706222833681155,0.115679844422219,0.129079081422919,0.487082751166332
0.356543223425941,0.0693281697640074,0.300064898780941,0.111624988566161
0.844664781736326,0.0902233296500286,0.150159301074431,0.688608658567129
0.399678888165781,0.140024970346477,0.039025691477675,0.204770070687712
0.682436694866419,0.101625749001163,0.113852373224497,0.46179716290209
0.43643403016793,0.0891370974258636,0.232069093524105,0.172390263791449
0.281204209038196,0.0904433973262319,0.264021359158796,0.0668538741038518
0.297057949124393,0.113517636981257,0.200924307974032,0.0818372564920078
0.61429638671875,0.04599384765625,0.34088623046875,0.351911108053007
0.495025115728378,0.0990629001140595,0.175940911769867,0.233314861777755
0.885764404471945,0.112236944749589,0.0923182818681816,0.776235199244245
0.336844395065843,0.12258497988109,0.149482254898897,0.117112357299386
0.516525884235386,0.0887826807373707,0.212987118363113,0.246901891394229
0.542996910886673,0.106143479319514,0.148456427299277,0.287277548998757
0.583924717906096,0.0690665680677325,0.281185879100371,0.312218116018263
0.549364760452462,0.0753837722264929,0.241504795567621,0.277336700233107
0.313003610402833,0.138564717171833,0.0597514451091679,0.137812471664968
0.540360676201456,0.0372834336525415,0.367770425055747,0.275611543327256
0.200650977620208,0.131832460810097,0.210500188586344,0.0371986811022313
0.482857418965643,0.127632325698269,0.0964165195809644,0.246679034779385
0.176891706805518,0.110853277851883,0.0540081284442172,0.0829387058117344
0.212395771556422,0.0983423546666683,0.162858197031564,0.0538114510178135
0.139659207763205,0.109714848887728,0.236614188335728,0.0169600933454853
0.466700265218812,0.0651732747037371,0.105102892865014,0.23429104283033
0.111727646095287,0.106571405718037,0.108300838529828,0.0445454475603117
0.226327542386205,0.108998490504501,0.152593934638228,0.0612341455958456
0.158328413381334,0.114406591061939,0.115704350256911,0.0510880907762686
0.264284798565348,0.112819441583553,0.0673480986337505,0.109755056803967
0.0510881895862587,0.118909671391324,0.186769744518842,0.0137106044571762
0.0293803101862943,0.105591251088653,0.293862886601115,0.00122201017798013
0.213829930584316,0.127862809426972,0.0936706770181315,0.0765125442957966
